Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances
unai-simon,Athletic Club,7.08,247.8,0,0,0.0,0.07935778,573,474,1047,0,2,0,0,0,3122,35
julen-agirrezabala,Athletic Club,6.3,12.6,0,0,,0.00326061,24,18,42,0,0,0,0,0,118,2
roman-yaremchuk,Valencia CF,6.6136363636364,145.5,3,0,3.8094,0.22678602,139,62,201,5,2,0,9,16,912,24
hugo-duro,Valencia CF,7.0285714285714,246.0,13,2,11.4851,0.5820579,389,148,537,12,4,0,29,65,2936,35
peter-gonzalez,Valencia CF,6.7076923076923,87.2,0,0,1.5938,0.52299278,81,37,118,10,1,0,6,14,580,13
alberto-mari,Valencia CF,6.6,85.8,0,1,0.8732,0.68992827,22,18,40,1,0,0,2,4,161,14
amallah-selim,Valencia CF,6.6789473684211,126.9,0,1,0.4164,0.34923261,120,40,160,18,3,1,5,11,633,20
pepelu,Valencia CF,7.24,253.4,6,1,6.459,4.45278043,1529,340,1869,12,4,0,11,33,3125,35
andre-almeida,Valencia CF,6.86875,109.9,2,1,0.3779,0.73827131,246,68,314,11,0,0,4,8,861,16
javier-guerra,Valencia CF,6.7205882352941,228.5,4,1,2.4257,1.87693133,652,234,886,36,3,1,14,38,2391,34
hugo-guillamon,Valencia CF,6.648,166.2,1,0,0.2079,0.49668695,517,120,637,2,6,0,2,3,1248,25
diego-lopez,Valencia CF,6.8323529411765,232.3,3,6,2.9371,2.19485922,445,212,657,26,2,0,13,35,2512,34
sergi-canos,Valencia CF,6.8375,164.1,1,2,1.6282,1.43953551,209,102,311,16,2,0,14,34,1075,25
fran-perez,Valencia CF,6.640625,212.5,1,4,1.0697,2.12083052,423,106,529,40,4,0,2,20,2069,32
mouctar-diakhaby,Valencia CF,6.9285714285714,97.0,1,0,0.7244,0.09344251,475,70,545,4,6,0,3,7,1071,14
jose-luis-gaya,Valencia CF,6.9521739130435,159.9,1,2,0.4868,2.45562964,625,163,788,8,2,0,1,10,1786,23
cenk-ozkacar,Valencia CF,6.7590909090909,148.7,0,0,0.256,0.29768112,664,146,810,3,3,0,3,6,1543,22
correia-thierry,Valencia CF,6.848275862069,198.6,0,2,0.6243,1.66152013,741,235,976,21,3,1,2,5,2048,29
cristhian-mosquera,Valencia CF,6.8911764705882,234.3,0,0,0.6736,0.14292582,1343,178,1521,6,2,0,2,9,2894,34
gasiorowski-yarek,Valencia CF,6.84,68.4,0,0,0.0119,0.05363636,130,44,174,0,1,0,0,1,557,12
dimitri-foulquier,Valencia CF,6.62,198.6,0,0,0.6388,0.74777428,510,197,707,22,2,0,1,7,1698,31
jesus-vazquez,Valencia CF,6.58,131.6,1,0,1.1581,0.17103144,120,59,179,6,1,0,2,7,727,20
giorgi-mamardashvili,Valencia CF,7.1114285714286,248.9,0,0,0.0,0.07840732,425,493,918,0,3,1,0,0,3109,35
jaume-domenech,Valencia CF,7.2,14.4,0,0,,0.00086315,11,18,29,0,0,0,0,0,79,2
cristian-rivero,Valencia CF,6.7,6.7,0,0,,8.987e-05,9,5,14,0,0,0,0,0,56,1
roman-yaremchuk,Valencia CF,6.6136363636364,145.5,3,0,3.8094,0.22678602,139,62,201,5,2,0,9,16,912,24
hugo-duro,Valencia CF,7.0285714285714,246.0,13,2,11.4851,0.5820579,389,148,537,12,4,0,29,65,2936,35
peter-gonzalez,Valencia CF,6.7076923076923,87.2,0,0,1.5938,0.52299278,81,37,118,10,1,0,6,14,580,13
alberto-mari,Valencia CF,6.6,85.8,0,1,0.8732,0.68992827,22,18,40,1,0,0,2,4,161,14
amallah-selim,Valencia CF,6.6789473684211,126.9,0,1,0.4164,0.34923261,120,40,160,18,3,1,5,11,633,20
pepelu,Valencia CF,7.24,253.4,6,1,6.459,4.45278043,1529,340,1869,12,4,0,11,33,3125,35
andre-almeida,Valencia CF,6.86875,109.9,2,1,0.3779,0.73827131,246,68,314,11,0,0,4,8,861,16
javier-guerra,Valencia CF,6.7205882352941,228.5,4,1,2.4257,1.87693133,652,234,886,36,3,1,14,38,2391,34
hugo-guillamon,Valencia CF,6.648,166.2,1,0,0.2079,0.49668695,517,120,637,2,6,0,2,3,1248,25
diego-lopez,Valencia CF,6.8323529411765,232.3,3,6,2.9371,2.19485922,445,212,657,26,2,0,13,35,2512,34
sergi-canos,Valencia CF,6.8375,164.1,1,2,1.6282,1.43953551,209,102,311,16,2,0,14,34,1075,25
