Equipo,Jugador,Posición,Puntos,Precio,PJ,Casa,Fuera,Media,Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
Villarreal,Parejo,Centrocampista,168,34000000,33,17,16,5.09,dani-parejo,Villarreal CF,7.146875,228.7,3,5,2.9284,4.00277987,1578,170,1748,19,4,0,6,12,2559,32,39182
Betis,Willian José,Delantero,168,10000000,33,17,16,5.09,willian-jose,Real Betis,7.0125,224.4,10,5,5.6731,1.62828844,393,104,497,5,0,1,24,48,1901,32,123223
Alavés,Guridi,Centrocampista,168,9000000,36,18,18,4.67,umar-sadiq,Real Sociedad,6.7076923076923,174.4,3,1,3.6403,0.93075901,128,52,180,31,4,0,10,33,1106,26,754710
Real Sociedad,Zubimendi,Centrocampista,167,29000000,31,16,15,5.39,martin-zubimendi,Real Sociedad,7.0645161290323,219.0,4,1,2.697,2.0138009,1318,208,1526,12,5,0,11,22,2655,31,966837
Girona,Blind,Defensa,166,25000000,34,18,16,4.88,abdul-mumin,Rayo Vallecano,6.865,137.3,1,0,0.3839,0.13871665,615,152,767,2,5,1,1,6,1705,20,846147
Barcelona,Cancelo,Defensa,164,25000000,32,18,14,5.13,joao-cancelo,Barcelona,7.2322580645161,224.2,2,3,1.4802,6.13057972,1287,236,1523,58,6,0,9,30,2422,31,138892
Athletic,Berenguer,Centrocampista,163,25000000,35,17,18,4.66,alex-berenguer,Athletic Club,6.8666666666667,226.6,7,2,5.1543,3.32003277,308,118,426,20,4,0,12,31,1491,34,592012
Mallorca,Rajkovic,Portero,163,15000000,36,19,17,4.53,predrag-rajkovic,RCD Mallorca,7.0666666666667,254.4,0,0,0.0,0.14401645,622,507,1129,3,2,0,0,0,3240,36,188107
Sevilla,Sergio Ramos,Defensa,162,11000000,28,13,15,5.79,sergio-ramos,Sevilla FC,7.3407407407407,198.2,3,0,1.8503,0.37921338,1309,161,1470,5,7,1,11,27,2428,27,10710
Atlético,Koke,Centrocampista,161,24000000,35,19,16,4.6,koke,Atlético Madrid,7.0424242424242,232.4,0,4,0.4174,2.83876056,1989,199,2188,5,4,0,2,10,2412,34,84539
Real Madrid,Rüdiger,Defensa,161,23000000,33,15,18,4.88,arda-guler,Real Madrid,7.27,72.7,6,0,1.4436,0.54123787,179,24,203,11,1,0,6,15,390,10,1091116
Osasuna,Areso,Defensa,161,9000000,37,18,19,4.35,jesus-areso,CA Osasuna,6.8861111111111,247.9,1,6,0.1495,2.80686334,731,178,909,43,3,0,2,8,2587,36,910267
Valencia,Cristhian Mosquera,Defensa,161,8000000,36,18,18,4.47,cristhian-mosquera,Valencia CF,6.8942857142857,241.3,0,0,0.6736,0.15014538,1399,180,1579,6,2,0,2,9,2984,35,1144630
Real Sociedad,Oyarzabal,Delantero,159,35000000,33,17,16,4.82,mikel-oyarzabal,Real Sociedad,6.86875,219.8,9,3,9.0992,1.32974401,371,117,488,10,3,0,19,40,2135,32,823622
Athletic,Vivian,Defensa,159,16000000,33,17,16,4.82,daniel-vivian,Athletic Club,6.925,221.6,0,0,0.6919,0.58787113,1427,261,1688,5,6,0,1,11,2834,32,910978
Barcelona,Raphinha,Delantero,158,39000000,28,15,13,5.64,raphinha,Barcelona,7.2821428571429,203.9,6,9,7.3826,4.99490999,475,112,587,24,4,1,22,59,1379,28,831005
Real Madrid,Lucas Vázquez,Defensa,158,14000000,29,15,14,5.45,lucas-vazquez,Real Madrid,7.2518518518519,195.8,3,6,1.1707,3.51405497,798,105,903,23,0,0,7,12,1426,28,255239
Atlético,Oblak,Portero,156,27000000,38,19,19,4.11,jan-oblak,Atlético Madrid,7.0054054054054,259.2,0,0,0.0,0.01994731,587,238,825,1,1,0,0,0,3330,37,69768
Alavés,Sivera,Portero,156,9000000,34,17,17,4.59,rui-silva,Real Betis,7.1214285714286,199.4,0,0,0.0,0.01841307,552,284,836,1,4,0,0,0,2475,28,253809
Alavés,Omorodion,Delantero,156,8000000,35,16,19,4.46,rodrygo,Real Madrid,7.2969696969697,240.8,10,5,11.642,3.63286025,826,95,921,59,2,0,36,86,2298,33,910536
Mallorca,Raíllo,Defensa,155,15000000,26,15,11,5.96,raul-albiol,Villarreal CF,6.8115384615385,177.1,0,1,0.4483,0.61569331,1092,173,1265,0,6,0,1,6,2035,26,3041
Betis,Pezzella,Defensa,154,14000000,32,16,16,4.81,german-pezzella,Real Betis,6.946875,222.3,1,0,2.0278,0.26865836,1273,207,1480,3,7,0,5,23,2770,32,158241
Las Palmas,Mika Mármol,Defensa,154,10000000,36,18,18,4.28,mika-marmol,Las Palmas,6.8571428571429,240.0,0,1,0.8587,1.06772106,2205,269,2474,16,4,1,0,3,3091,35,979146
Real Madrid,Joselu,Delantero,153,42000000,34,16,18,4.5,joselu,Real Madrid,6.8470588235294,232.8,10,2,11.5716,1.99769496,256,92,348,6,1,0,29,63,1680,34,69418
Rayo Vallecano,Álvaro García,Delantero,153,23000000,32,16,16,4.78,alvaro-garcia,Rayo Vallecano,6.9451612903226,215.3,6,1,5.8043,2.80643285,437,208,645,9,6,1,16,41,2403,31,345111
Atlético,Correa,Delantero,152,29000000,32,15,17,4.75,angel-correa,Atlético Madrid,7.0193548387097,217.6,9,2,7.7977,3.46169233,357,94,451,26,3,0,20,41,1462,31,316152
Rayo Vallecano,Dimitrievski,Portero,151,14000000,37,18,19,4.08,stole-dimitrievski,Rayo Vallecano,6.9243243243243,256.2,0,0,0.0,0.06670815,567,457,1024,1,2,0,0,0,3330,37,97951
Valencia,Diego Lopez,Delantero,151,12000000,36,18,18,4.19,diego-lopez,Valencia CF,6.8314285714286,239.1,3,6,3.1454,2.28529832,466,214,680,26,2,0,15,37,2602,35,998950
Barcelona,João Félix,Delantero,150,35000000,30,15,15,5.0,joao-felix,Barcelona,7.048275862069,204.4,7,3,8.5718,2.56749841,516,101,617,29,3,0,24,59,1520,29,851671
Real Sociedad,Le Normand,Defensa,150,25000000,29,17,12,5.17,robin-le-normand,Real Sociedad,6.9724137931034,202.2,2,0,1.0855,0.78870788,1562,200,1762,1,13,0,5,8,2473,29,787751
Las Palmas,Javi Muñoz,Centrocampista,150,9000000,37,19,18,4.05,javier-munoz,Las Palmas,6.7805555555556,244.1,2,3,2.5419,1.79980997,980,215,1195,14,6,0,9,38,2571,36,353154
Barcelona,Ter Stegen,Portero,149,36000000,28,14,14,5.32,marc-andre-ter-stegen,Barcelona,7.1703703703704,193.6,0,0,0.0,0.06091193,788,101,889,0,3,0,0,0,2430,27,88625
Mallorca,Samú Costa,Centrocampista,149,12000000,34,17,17,4.38,samuel-costa,RCD Mallorca,6.8939393939394,227.5,1,1,1.0837,1.0166066,823,235,1058,12,8,0,3,22,2305,34,988351
Girona,Stuani,Delantero,149,11000000,31,15,16,4.81,juanmi,Cádiz CF,6.7866666666667,101.8,3,1,2.6894,0.52717071,174,43,217,9,3,0,7,14,846,15,96369
Atlético,Witsel,Defensa,148,13000000,35,17,18,4.23,axel-witsel,Atlético Madrid,6.9794117647059,237.3,2,0,0.9884,0.24022226,1645,141,1786,5,5,0,3,7,2694,34,35612
Girona,David López,Defensa,147,13000000,25,15,10,5.88,david-gil,Cádiz CF,7.375,29.5,0,0,,0.01240351,50,58,108,0,1,0,0,0,281,4,138390
Athletic,Sancet,Centrocampista,146,31000000,30,15,15,4.87,oihan-sancet,Athletic Club,6.92,207.6,4,5,6.2956,2.94116863,634,132,766,26,3,2,12,42,1991,30,966801
