Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
jose-maria-gimenez,Atlético Madrid,6.7952380952381,142.7,0,0,0.3913,0.06140433,530,83,613,2,5,0,1,7,1233,21,325355
reinildo-mandava,Atlético Madrid,6.9307692307692,90.1,1,1,0.3537,0.5157691,309,50,359,8,1,0,2,4,717,15,831424
mario-hermoso,Atlético Madrid,7.0333333333333,211.0,0,1,1.3977,1.06374096,1548,226,1774,11,9,0,4,17,2536,30,353130
stefan-savic,Atlético Madrid,6.7909090909091,149.4,0,0,0.3332,0.55470068,811,160,971,8,5,1,1,5,1635,23,76265
gabriel-paulista,Atlético Madrid,6.8045454545455,149.7,0,0,0.5415,0.31537752,939,146,1085,0,5,1,1,8,1806,23,124737
jan-oblak,Atlético Madrid,7.0054054054054,259.2,0,0,0,0.01994731,587,238,825,1,1,0,0,0,3330,37,69768
youssef-en-nesyri,Sevilla FC,6.93125,221.8,15,2,10.3171,0.83177248,192,108,300,10,4,0,29,69,2484,32,846470
mariano-diaz,Sevilla FC,6.65,53.2,0,0,1.1584,0.09400162,30,15,45,1,1,0,1,13,248,8,175753
alejo-veliz,Sevilla FC,6.475,25.9,0,0,0.2275,0.00398815,4,2,6,0,0,0,2,2,46,5,1116987
dodi-lukebakio,Sevilla FC,6.8818181818182,151.4,5,1,5.2541,1.02093164,244,49,293,30,0,0,16,38,1055,22,823631
rafa-mir,Sevilla FC,6.6933333333333,100.4,2,0,1.4265,0.09371746,60,25,85,2,1,0,7,15,404,15,825754
romero-isaac,Sevilla FC,6.8285714285714,95.6,4,4,7.288,1.03541462,145,47,192,13,2,0,17,42,1050,14,1018190
hannibal-mejbri,Sevilla FC,6.74,33.7,0,0,0.0104,0.18470668,40,8,48,3,2,0,0,1,107,6,1009386
lucas-ocampos,Sevilla FC,7.0735294117647,240.5,4,3,5.2079,3.79905413,696,254,950,48,8,0,23,63,2795,34,155702
erik-lamela,Sevilla FC,6.8416666666667,82.1,2,0,1.0019,0.67115188,135,22,157,7,3,0,4,9,491,13,122702
suso,Sevilla FC,7.0344827586207,204.0,1,4,1.376,4.93018268,645,111,756,27,5,1,6,26,1514,29,96370
adnan-januzaj,Sevilla FC,6.6875,53.5,0,0,0.5954,0.16869029,64,13,77,5,0,0,1,6,195,8,328145
boubakary-soumare,Sevilla FC,6.8592592592593,185.2,0,0,0.0232,0.49472975,1067,116,1183,19,10,0,0,1,2204,27,887581
lucien-agoume,Sevilla FC,6.8545454545455,75.4,0,0,0.6126,0.26660254,272,56,328,7,3,0,2,5,698,11,960006
djibril-sow,Sevilla FC,6.8166666666667,163.6,1,1,1.5098,1.12118949,578,96,674,5,5,0,5,18,1473,24,799054
oliver-torres,Sevilla FC,6.7846153846154,176.4,0,1,0.6255,2.54944225,691,134,825,11,3,0,3,9,1628,27,231776
joan-jordan,Sevilla FC,6.7833333333333,40.7,0,0,0.1828,0.11483421,209,28,237,1,1,0,1,6,378,8,591750
